file,baseline_power_ratio_lt0p5,st_var_raw,st_var_filt,st_mad_raw,st_mad_filt,rpeak_delta_mean_s,rpeak_delta_max_s,n_peaks_raw,n_peaks_filt
rest_ecg_data_20251112_005227,0.044120148574790574,0.003826393651882334,0.0008887225430183952,0.014444444444444454,0.016265656812305018,0.0,0.0,36,36
rest_ecg_data_20251112_005303,0.03489684004424679,0.010145201382511989,0.0067393612192095664,0.02944444444444435,0.01801871169525318,0.0,0.0,44,44
rest_ecg_data_20251112_005347,0.03226266766407687,0.020221035245373862,0.007012626454604248,0.04333333333333339,0.02545336201387262,0.0,0.0,21,21
rest_ecg_data_20251112_005409,0.037260970770545215,0.0017348786428151499,0.0006497115348014623,0.013333333333333128,0.017870907314758433,0.0,0.0,21,21
rest_ecg_data_20251112_005431,0.02259258375668936,0.0008161141594269163,0.0012373243753180127,0.011111111111111127,0.012775866997101142,0.0,0.0,19,19
rest_ecg_data_20251112_005452,0.01704534463110613,0.0015094834567901212,0.00036866993650666417,0.015555555555555572,0.012995612461348963,0.0,0.0,25,25
rest_ecg_data_20251112_005516,0.03776656446071027,0.002324852388620503,0.0011732002941402893,0.018888888888888858,0.015290547848498218,0.0,0.0,23,23
rest_ecg_data_20251112_005540,0.14799325410297706,0.005825974935237695,0.0038264541648293194,0.04888888888888868,0.02088160340628671,0.0,0.0,24,24
rest_ecg_data_20251112_005604,0.0354873276633867,0.004396002958881741,0.0004910366336807685,0.05333333333333328,0.00874688114001227,0.0,0.0,23,23
rest_ecg_data_20251203_135222,0.06482653997730657,0.032642353223964894,0.019610802282447447,0.055555555555555525,0.03613149005806586,0.0,0.0,43,43
